"tag","timeStamp","duration"
"NA","00:00","0"
"DST_Red_Classroom_start","14:27","58"
"DST_Red_Classroom_Incorrect","15:00","1"
"DST_Red_Classroom_Incorrect","15:01","1"
"DST_Red_Classroom_Incorrect","15:02","1"
"DST_Red_Classroom_Incorrect","15:14","1"
"DST_Red_Classroom_Incorrect","15:17","1"
"DST_Red_Classroom_Incorrect","15:18","1"
"DST_Red_Classroom_Incorrect","15:24","1"
"Benton_Red_Classroom_start","15:33","22"
"DST_With_Teacher_start","16:24 ","64"
"DST_With_Teacher_Incorrect","17:03","1"
"DST_With_Teacher_Incorrect","17:05","1"
"DST_With_Teacher_Incorrect","17:15","1"
"DST_With_Teacher_Incorrect","17:22","1"
"DST_With_Teacher_Incorrect","17:24","1"
"DST_With_Teacher_Incorrect","17:25","1"
"Benton_With_Teacher_start","17:34","25"
"DST_Two_Windows_start","22:16","60"
"DST_Two_Windows_Incorrect","22:50","1"
"DST_Two_Windows_Incorrect","22:52","1"
"DST_Two_Windows_Incorrect","22:53","1"
"DST_Two_Windows_Incorrect","23:13","1"
"Benton_Two_Windows_start","23:20","22"
"DST_One_Window_start","24:04","58"
"DST_One_Window_Incorrect","24:36","1"
"DST_One_Window_Incorrect","24:37","1"
"DST_One_Window_Incorrect","24:38","1"
"DST_One_Window_Incorrect","24:59","1"
"DST_One_Window_Incorrect","25:00","1"
"Benton_One_Window_start","25:09","20"
"Stroop_With_Teacher_start","28:40","26"
"PST_With_Teacher_start","29:17","15"
"VMT_With_Teacher_start","29:39","28"
"Stroop_Red_Classroom_start","32:22",NA
"PST_Red_Classroom_start","32:38","16"
"VMT_Red_Classroom_start","33:21","28"
"Stroop_Blue_Classroom_start","34:12","26"
"PST_Blue_Classroom_start","34:50 ","15"
"VMT_Blue_Classroom_start","35:12","26"
"Stroop_Two_Windows_start","35:53","27"
"PST_Two_Windows_start","36:29","15"
"PST_Two_Windows_Incorrect","36:39","1"
"VMT_Two_Windows_start","36:53","28"
"Stroop_One_Window_start","37:41","26"
"PST_One_Window_start","38:17","16"
"PST_One_Window_Incorrect","38:28","1"
"VMT_One_Window_start","38:40","28"
"DST_Blue_Classroom_start","8:45 ","65"
"DST_Blue_Classroom_Incorrect","9:20","1"
"DST_Blue_Classroom_Incorrect","9:22","1"
"DST_Blue_Classroom_Incorrect","9:27","1"
"DST_Blue_Classroom_Incorrect","9:38","1"
"DST_Blue_Classroom_Incorrect","9:39","1"
"DST_Blue_Classroom_Incorrect","9:42","1"
"Benton_Blue_Classroom_start","9:55","25"
"Benton_One_Window_Incorrect",NA,"1"
"Stroop:_One_Window_Incorrect",NA,"1"
"VMT:_One_Window_Incorrect",NA,"1"
"Benton_Two_Windows_Incorrect",NA,"1"
"Stroop:_Two_Windows_Incorrect",NA,"1"
"VMT:_Two_Windows_Incorrect",NA,"1"
"Benton:_Blue_Classroom_Incorrect",NA,"1"
"Stroop:_Blue_Classroom_Incorrect",NA,"1"
"PST:_Blue_Classroom_Incorrect",NA,"1"
"VMT:_Blue_Classroom_Incorrect",NA,"1"
"Benton:_Red_Classroom_Incorrect",NA,"1"
"Stroop:_Red_Classroom_Incorrect",NA,"1"
"PST:_Red_Classroom_Incorrect",NA,"1"
"VMT:_Red_Classroom_Incorrect",NA,"1"
"Benton:_With_Teacher_Incorrect",NA,"1"
"Stroop:_With_Teacher_Incorrect",NA,"1"
"PST:_With_Teacher_Incorrect",NA,"1"
"VMT:_With_Teacher_Incorrect",NA,"1"
