"tag","timeStamp","duration"
"NA","00:00","0"
"DST_One_Start","00:NA",NA
"BT:_One_Start","00:NA",NA
"ST:_One_Start","00:NA",NA
"PST:_One_Start","00:NA",NA
"VMT:_One_Start","00:NA",NA
"DST_One_Incorrect","00:NA","1"
"BT:_One_Incorrect","00:NA","1"
"ST:_One_Incorrect","00:NA","1"
"PST:_One_Incorrect","00:NA","1"
"VMT:_One_Incorrect","00:NA","1"
"DST_Two_Start","00:NA",NA
"BT:_Two_Start","00:NA",NA
"ST:_Two_Start","00:NA",NA
"PST:_Two_Start","00:NA",NA
"VMT:_Two_Start","00:NA",NA
"DST_Two_Incorrect","00:NA","1"
"BT:_Two_Incorrect","00:NA","1"
"ST:_Two_Incorrect","00:NA","1"
"PST:_Two_Incorrect","00:NA","1"
"VMT:_Two_Incorrect","00:NA","1"
"DST_Blue_Start","00:NA",NA
"BT:_Blue_Start","00:NA",NA
"ST:_Blue_Start","00:NA",NA
"PST:_Blue_Start","00:NA",NA
"VMT:_Blue_Start","00:NA",NA
"DST_Blue_Incorrect","00:NA","1"
"BT:_Blue_Incorrect","00:NA","1"
"ST:_Blue_Incorrect","00:NA","1"
"PST:_Blue_Incorrect","00:NA","1"
"VMT:_Blue_Incorrect","00:NA","1"
"DST_Red_Start","00:NA",NA
"BT:_Red_Start","00:NA",NA
"ST:_Red_Start","00:NA",NA
"PST:_Red_Start","00:NA",NA
"VMT:_Red_Start","00:NA",NA
"DST_Red_Incorrect","00:NA","1"
"BT:_Red_Incorrect","00:NA","1"
"ST:_Red_Incorrect","00:NA","1"
"PST:_Red_Incorrect","00:NA","1"
"VMT:_Red_Incorrect","00:NA","1"
"DST_Teach_Start","00:NA",NA
"BT:_Teach_Start","00:NA",NA
"ST:_Teach_Start","00:NA",NA
"PST:_Teach_Start","00:NA",NA
"VMT:_Teach_Start","00:NA",NA
"DST_Teach_Incorrect","00:NA","1"
"BT:_Teach_Incorrect","00:NA","1"
"ST:_Teach_Incorrect","00:NA","1"
"PST:_Teach_Incorrect","00:NA","1"
"VMT:_Teach_Incorrect","00:NA","1"
