"tag","timeStamp","duration"
"NA","00:00","0"
"DST_One_Start","00:10:28","62"
"DST_One_Incorrect","00:11:23","1"
"BT_One_Start","00:11:40","22"
"DST_Two_Start","00:14:16","54"
"DST_Two_Incorrect","00:15:03","1"
"DST_Two_Incorrect","00:15:09","1"
"BT_Two_Start","00:15:19","22"
"DST_Teach_Start","00:16:08","55"
"DST_Teach_Incorrect","00:16:56","1"
"DST_Teach_Incorrect","00:17:01","1"
"BT_Teach_Start","00:17:10","23 "
"DST_Red_Start","00:17:54","59"
"DST_Red_Incorrect","00:18:44","1"
"DST_Red_Incorrect","00:18:51","1"
"BT_Red_Start","00:18:59","23 "
"DST_Blue_Start","00:19:43","55"
"DST_Blue_Incorrect","00:20:32","1"
"DST_Blue_Incorrect","00:20:38","1"
"BT_Blue_Start","00:20:47","28 "
"ST_One_Start","00:29:41","26"
"PST_One_Start","00:30:18","15"
"VMT_One_Start","00:30:40","30"
"ST_Blue_Start","00:33:16","27"
"ST_Blue_Incorrect","00:33:31","1"
"PST_Blue_Start","00:33:53","15"
"VMT_Blue_Start","00:34:15","27"
"ST_Red_Start","00:35:02","26"
"ST_Red_Incorrect","00:35:05","1"
"ST_Red_Incorrect","00:35:15","1"
"ST_Red_Incorrect","00:35:28","1"
"PST_Red_Start","00:35:59","15"
"VMT_Red_Start","00:36:02","28"
"ST_Teach_Start","00:36:50","26"
"ST_Teach_Incorrect","00:37:12","1"
"ST_Teach_Incorrect","00:37:15","1"
"PST_Teach_Start","00:37:27","15"
"PST_Teach_Incorrect","00:37:39","1"
"VMT_Teach_Start","00:37:49","28"
"ST_Two_Start","00:43:54","26"
"PST_Two_Start","00:44:31","15"
"VMT_Two_Start","00:44:54","29"
"BT_One_Incorrect","00:NA","1"
"ST_One_Incorrect","00:NA","1"
"PST_One_Incorrect","00:NA","1"
"VMT:_One_Incorrect","00:NA","1"
"BT_Two_Incorrect","00:NA","1"
"ST_Two_Incorrect","00:NA","1"
"PST_Two_Incorrect","00:NA","1"
"VMT:_Two_Incorrect","00:NA","1"
"BT_Blue_Incorrect","00:NA","1"
"PST_Blue_Incorrect","00:NA","1"
"VMT:_Blue_Incorrect","00:NA","1"
"BT_Red_Incorrect","00:NA","1"
"PST_Red_Incorrect","00:NA","1"
"VMT:_Red_Incorrect","00:NA","1"
"BT_Teach_Incorrect","00:NA","1"
"VMT:_Teach_Incorrect","00:NA","1"
