"tag","timeStamp","duration"
"NA","00:00","0"
"DST_Red_Start","00:14:27","58"
"DST_Red_Incorrect","00:15:00","1"
"DST_Red_Incorrect","00:15:01","1"
"DST_Red_Incorrect","00:15:02","1"
"DST_Red_Incorrect","00:15:14","1"
"DST_Red_Incorrect","00:15:17","1"
"DST_Red_Incorrect","00:15:18","1"
"DST_Red_Incorrect","00:15:24","1"
"BT_Red_Start","00:15:33","22"
"DST_Teach_Start","00:16:24 ","64"
"DST_Teach_Incorrect","00:17:03","1"
"DST_Teach_Incorrect","00:17:05","1"
"DST_Teach_Incorrect","00:17:15","1"
"DST_Teach_Incorrect","00:17:22","1"
"DST_Teach_Incorrect","00:17:24","1"
"DST_Teach_Incorrect","00:17:25","1"
"BT_Teach_Start","00:17:34","25"
"DST_Two_Start","00:22:16","60"
"DST_Two_Incorrect","00:22:50","1"
"DST_Two_Incorrect","00:22:52","1"
"DST_Two_Incorrect","00:22:53","1"
"DST_Two_Incorrect","00:23:13","1"
"BT_Two_Start","00:23:20","22"
"DST_One_Start","00:24:04","58"
"DST_One_Incorrect","00:24:36","1"
"DST_One_Incorrect","00:24:37","1"
"DST_One_Incorrect","00:24:38","1"
"DST_One_Incorrect","00:24:59","1"
"DST_One_Incorrect","00:25:00","1"
"BT_One_Start","00:25:09","20"
"ST_Teach_Start","00:28:40","26"
"PST_Teach_Start","00:29:17","15"
"VMT_Teach_Start","00:29:39","28"
"ST_Red_Start","00:32:22",NA
"PST_Red_Start","00:32:38","16"
"VMT_Red_Start","00:33:21","28"
"ST_Blue_Start","00:34:12","26"
"PST_Blue_Start","00:34:50 ","15"
"VMT_Blue_Start","00:35:12","26"
"ST_Two_Start","00:35:53","27"
"PST_Two_Start","00:36:29","15"
"PST_Two_Incorrect","00:36:39","1"
"VMT_Two_Start","00:36:53","28"
"ST_One_Start","00:37:41","26"
"PST_One_Start","00:38:17","16"
"PST_One_Incorrect","00:38:28","1"
"VMT_One_Start","00:38:40","28"
"DST_Blue_Start","00:8:45 ","65"
"DST_Blue_Incorrect","00:9:20","1"
"DST_Blue_Incorrect","00:9:22","1"
"DST_Blue_Incorrect","00:9:27","1"
"DST_Blue_Incorrect","00:9:38","1"
"DST_Blue_Incorrect","00:9:39","1"
"DST_Blue_Incorrect","00:9:42","1"
"BT_Blue_Start","00:9:55","25"
"BT_One_Incorrect","00:NA","1"
"ST:_One_Incorrect","00:NA","1"
"VMT:_One_Incorrect","00:NA","1"
"BT_Two_Incorrect","00:NA","1"
"ST:_Two_Incorrect","00:NA","1"
"VMT:_Two_Incorrect","00:NA","1"
"BT:_Blue_Incorrect","00:NA","1"
"ST:_Blue_Incorrect","00:NA","1"
"PST:_Blue_Incorrect","00:NA","1"
"VMT:_Blue_Incorrect","00:NA","1"
"BT:_Red_Incorrect","00:NA","1"
"ST:_Red_Incorrect","00:NA","1"
"PST:_Red_Incorrect","00:NA","1"
"VMT:_Red_Incorrect","00:NA","1"
"BT:_Teach_Incorrect","00:NA","1"
"ST:_Teach_Incorrect","00:NA","1"
"PST:_Teach_Incorrect","00:NA","1"
"VMT:_Teach_Incorrect","00:NA","1"
