"tag","timeStamp","duration"
"NA","00:00","0"
"DST_One_Start","00:13:20","54"
"BT_One_Start","00:14:20","24"
"DST_Red_Start","00:15:18","0:16:06, 0:16:11"
"DST_Red_Incorrect","00:16:06","1"
"DST_Red_Incorrect","00:16:11","1"
"BT_Red_Start","00:16:19",NA
"DST_Two_Start","00:17:23","18:11, 18:16, 18:17"
"DST_Two_Incorrect","00:18:11","1"
"DST_Two_Incorrect","00:18:16","1"
"DST_Two_Incorrect","00:18:17","1"
"BT_Two_Start","00:18:27","18:29"
"BT_Two_Incorrect","00:18:29","1"
"DST_Blue_Start","00:19:20","205, 213"
"DST_Blue_Incorrect","00:20:05","1"
"DST_Blue_Incorrect","00:20:13","1"
"BT_Blue_Start","00:20:21",NA
"DST_Teach_Start","00:21:31","0:22:17"
"DST_Teach_Incorrect","00:22:17","1"
"BT_Teach_Start","00:22:31",NA
"ST_Blue_Start","00:35:05",NA
"PST_Blue_Start","00:35:45",NA
"VMT_Blue_Start","00:36:09","36:15"
"VMT_Blue_Incorrect","00:36:15","1"
"PST_One_Start","00:37:34","15"
"PST_One_Incorrect","00:37:47","1"
"VMT_One_Start","00:37:57","28"
"VMT_One_Incorrect","00:38:15","1"
"ST_Two_Start","00:40:37",NA
"PST_Two_Start","00:41:14",NA
"VMT_Two_Start","00:41:38",NA
"PST_Teach_Start","00:43:04",NA
"VMT_Teach_Start","00:43:27",NA
"ST_Red_Start","00:46:07","0:46:18, 0:46:19, 0:46:33"
"ST_Red_Incorrect","00:46:18","1"
"ST_Red_Incorrect","00:46:19","1"
"ST_Red_Incorrect","00:46:33","1"
"PST_Red_Start","00:46:45",NA
"VMT_Red_Start","00:47:07",NA
"ST 36:57_One_Start","00:NA","26"
"DST_One_Incorrect","00:NA","1"
"BT_One_Incorrect","00:NA","1"
"ST_One_Incorrect","00:NA","1"
"ST_Two_Incorrect","00:NA","1"
"PST_Two_Incorrect","00:NA","1"
"VMT:_Two_Incorrect","00:NA","1"
"BT_Blue_Incorrect","00:NA","1"
"ST_Blue_Incorrect","00:NA","1"
"PST_Blue_Incorrect","00:NA","1"
"BT_Red_Incorrect","00:NA","1"
"PST_Red_Incorrect","00:NA","1"
"VMT:_Red_Incorrect","00:NA","1"
"ST 42:27_Teach_Start","00:NA",NA
"BT_Teach_Incorrect","00:NA","1"
"ST_Teach_Incorrect","00:NA","1"
"PST_Teach_Incorrect","00:NA","1"
"VMT:_Teach_Incorrect","00:NA","1"
